station_name,latitude,longitude,daily_users
shinagawa,35.628389,139.738944,172236
takana_gateway,35.6325,139.739722,19378
tamachi,35.644167,139.745833,113956
hamamatsucho,35.655833,139.7575,110488
shinbashi,35.663889,139.758333,358153
yurakucho,35.672778,139.764444,177436
tokyo,35.681111,139.767222,428278
kanda,35.691389,139.770556,154294
akihabara,35.698056,139.773056,276657
okachimachi,35.706667,139.775833,112514
ueno,35.713889,139.776944,180837
uguisudani,35.722778,139.779722,37008
nippori,35.728611,139.782778,148969
nishi_nippori,35.731944,139.786944,84102
tabata,35.736667,139.766944,53391
komagome,35.736389,139.754167,74132
sugamo,35.733333,139.745,107960
otsuka,35.728889,139.738056,122662
ikebukuro,35.729444,139.710833,544545
mejiro,35.721944,139.704167,50117
takadanobaba,35.713611,139.703611,177119
shin_okubo,35.700278,139.700278,109028
shinjuku,35.689722,139.700556,777763
yoyogi,35.684722,139.703056,114739
harajuku,35.671389,139.702778,100932
shibuya,35.658889,139.701389,374936
ebisu,35.646667,139.710278,187016
meguro,35.634444,139.715833,134162
gotanda,35.626944,139.724444,167838
osaki,35.619722,139.728889,131555